date,from,text
2/1/2011,socialgardens,rt @socialgardens: thomas vander wal.: social comfort  presentation #cck11 http://slidesha.re/b9vama
2/1/2011,socialgardens,spicy nodes - visual knowledge representation tool #cck11 http://icio.us/soiomi
2/1/2011,thbeth,#cck11 e-learning and information http://migre.me/3nehr
2/1/2011,downes,how to use the grsshopper blog reader in #cck11 - short video - http://blip.tv/file/4709964
2/1/2011,pipcleaves,i love this onto graphic on participators in social media http://j.mp/g8kgdl #cck11 #socialmedia
2/1/2011,pipcleaves,blekko : http://j.mp/f371lk looks like a great way to search. helps to focus the topic #research #cck11 #yam
2/1/2011,mathiaspoulsen,@smgrimes @ianchia #gbl is (usually) just short for game based learning; #cck11 is beyond me ;-)
2/1/2011,cck11feeds,#cck11 show us where you are! map of participants: http://t.co/kmn3hye: #cck11 show us where you are! map of par... http://bit.ly/eado79
2/1/2011,cck11feeds,@jaapsoft my point is our understanding is socially constructed. connections may exist that we cannot see #cck11... http://bit.ly/ew8gwr
2/1/2011,cck11feeds,rt @nollytoenders: http://on.ted.com/8sbx ari carr-chellman: gaming to re-engage boys in learning #cck11: rt @no... http://bit.ly/fh4hsu
2/1/2011,wgreller,#cck11 show us where you are! map of participants: http://t.co/kmn3hye
2/1/2011,gminks,@jaapsoft my point is our understanding is socially constructed. connections may exist that we cannot see #cck11
2/1/2011,nollytoenders,rt @nollytoenders: http://on.ted.com/8sbx ari carr-chellman: gaming to re-engage boys in learning #cck11
2/1/2011,brochefort,rt @brochefort: connectivism glossary http://www.connectivism.ca/?p=303 #edu7271 #edu6407
2/3/2011,web20education,rt @profesortbaker: information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://nblo.gs/dopq2
2/3/2011,profesorbaker,information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://nblo.gs/dopq2
2/3/2011,profesortbaker,information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://nblo.gs/dopq2
2/3/2011,blog4edu,via @profesortbaker information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://bit.ly/enubxi #edchat
2/3/2011,shellterrell,via @profesortbaker information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://bit.ly/enubxi #edchat
2/3/2011,profesortbaker,information and its connective tissue revisited (#cck11) (#eltchat) (#edchat) http://wp.me/pdhw0-ib
2/3/2011,ampoulin13,check this video out -- connectivism &amp; open learning http://t.co/0zuv2xl via @youtube
2/3/2011,stangea,creative collaborations: connectivism http://post.ly/1zh4n
2/3/2011,mayrasotoguzman,does information flow in a connectivist network? i said yes...http://bit.ly/fqrueb
2/2/2011,cck11,"thanksgiving means giving god the glory in everything, making room for him, casting our care on him, letting it be his care.-karl barth"
2/2/2011,wisdomofwe,"@shellterrell thanks! i like the video on what a mooc is, but the about us page isn't linking. #cck11"
2/2/2011,barbaram,@haledogg it was great today. social tools/folksonomy/cloud connections #cck11 #ltw4c
2/2/2011,jaapsoft,@gminks  a  blog on lhttp://bit.ly/eu2zic your tweet about social constructed  view. #cck11
2/2/2011,stevemac121,"@gminks  fair to say then that pattern literacy  is a key skill - learning about patterns could be fun, like solving a puzzle. #lak11 #cck11"
2/2/2011,pennyehrenkranz,"added a new stop on my blog tour, for a past and a future, please stop by http://bit.ly/f2evhv"
2/2/2011,shellterrell,@wisdomofwe free open course from george siemens and stephen downes http://bit.ly/fnr8kf
2/2/2011,thbeth,"rt @oldaily networks, neighbourhoods and communities: a reflection ~ cck11 http://bit.ly/gibhrr"
2/2/2011,aleredin,rt @cck11feeds: 10 ways to archive your tweets: http://rww.to/25fzu #twitter #cck11
2/2/2011,profesorbaker,the folksonomy triad: that makes sense to me #cck11 #education #eltchat #edreform #connectivism #esl #edtech #edchat http://bit.ly/hjnqyw
2/2/2011,vickyloras,rt @shellterrell via @profesortbaker that makes sense to me: information and connective tissue (#cck11) http://bit.ly/ffbatk #edchat
2/2/2011,wisdomofwe,@shellterrell  @profesortbaker  what is #cck11?
2/2/2011,profesortbaker,that makes sense to me: information and connective tissue (#cck11) http://nblo.gs/dngor
2/2/2011,profesorbaker,that makes sense to me: information and connective tissue (#cck11) http://nblo.gs/dngor
2/2/2011,shellterrell,via @profesortbaker that makes sense to me: information and connective tissue (#cck11) http://bit.ly/ffbatk #edchat
2/2/2011,blog4edu,via @profesortbaker that makes sense to me: information and connective tissue (#cck11) http://bit.ly/ffbatk #edchat
2/2/2011,swedinbalchik,a folksonomy is normally much richer than our official vocabulary or approved taxonomy. #cck11
2/2/2011,sifowler,"well that was annoying, and strangely instructive: lost internet connection to connectivism session on connected knowledge. #cck11"
2/2/2011,leahgrrl,the shy connector's guide to getting ready for conference awesomeness http://slidesha.re/hdvpoq #cck11
2/2/2011,cck11feeds,"thomas vander wal talking about personal vs local infoclouds, models of attraction #cck11: thomas vander wal tal... http://bit.ly/ekxnne"
2/2/2011,cck11feeds,finally able to join the #cck11 class live in elluminate thanks to our snow day in ontario! :): finally able to ... http://bit.ly/fen3il
2/2/2011,cck11feeds,"listening to #cck11 elluminate on #ds106radio - someone tell dj downes to edit his meta data; it sez ""emmylous h... http://bit.ly/ifdjuh"
2/2/2011,cck11feeds,top of the hour ... #cck11 patches into #ds106radio via @downes: top of the hour ... #cck11 patches into #ds106r... http://bit.ly/eceg8v
2/2/2011,ninafcollins,hm what are the implications on folksonomy on my knowledge strategy meetup tomorrow? #cck11
2/2/2011,tonyratcliffe,@bhattmaan box.net was just described in a presentation in #cck11. sounds good.
2/2/2011,ninafcollins,vander wal making interesting points re taxonomy v folksonomy. relevant to org strategies for info mgmt.#cck11
2/2/2011,prsturgeon,"rt @saadat_m: learning networks and connective knowledge @downes http://t.co/zpivd0t http://t.co/zpivd0t via @diigo, #cck11"
2/2/2011,barbaram,"thomas vander wal talking about personal vs local infoclouds, models of attraction #cck11"
2/2/2011,theroguewizard,rt @pipcleaves: contemporary e-learning: delivering knowledge or dishing out information | upside learning ... via @scoopit via @thbeth http://bit.ly/el0rb6
2/2/2011,brendasherry,finally able to join the #cck11 class live in elluminate thanks to our snow day in ontario! :)
2/2/2011,cogdog,"listening to #cck11 elluminate on #ds106radio - someone tell dj downes to edit his meta data; it sez ""emmylous harris - 9. band intros"" ;-)"
2/2/2011,saadat_m,"learning networks and connective knowledge @downes http://t.co/zpivd0t http://t.co/zpivd0t via @diigo, #cck11"
2/2/2011,juandoming,rt @shellterrell: via @profesortbaker a past and a future: a connectivist interviews penny lockwood ehrenkranz (#cck11) (#... http://bit.ly/dgmvky #edchat
2/2/2011,profesortbaker,a past and a future: a connectivist interviews penny lockwood ehrenkranz (#cck11) (#eltchat) (#sirken) http://nblo.gs/dmddc
2/2/2011,shellterrell,via @profesortbaker a past and a future: a connectivist interviews penny lockwood ehrenkranz (#cck11) (#... http://bit.ly/dgmvky #edchat
2/2/2011,profesorbaker,a past and a future: a connectivist interviews penny lockwood ehrenkranz (#cck11) (#eltchat) (#sirken) http://nblo.gs/dmddc
2/2/2011,blog4edu,via @profesortbaker a past and a future: a connectivist interviews penny lockwood ehrenkranz (#cck11) (#... http://bit.ly/dgmvky #edchat
2/2/2011,vanessavaile,"#egypt restores internet services (video), but dialup still there for emergencies, http://bit.ly/fajjbu #socialmedia #evomlit #cck11"
2/4/2011,timekord,"social enzymes http://goo.gl/zicdb by @timbuckteeth  ""rhizomatic nature of web 2.0  makes it easier to connect &amp; learn informally #cck11"
2/4/2011,timekord,rhizoactivity toward a postmodern theory of lifelong learning http://goo.gl/wxsl2 via @gfbertini #cck11
2/4/2011,timekord,"a general link for #cck11 the rise of networks, the end of process http://goo.gl/8ggbz"
2/4/2011,timekord,"diversity , autonomy, interactivity, openness - are the principles of connectivism the opposite of traditional education? #cck11"
2/4/2011,timekord,rt @swedinbalchik thought: we are determined by the technology we use since context today is mostly on-line (#cck11).
2/4/2011,timekord,"rt @steelemaley: @oldaily ""e-learning has been based on centralized systems.these centralized systems,such as the lms, are like a dysfunctional crutch""#cck11"
2/4/2011,ignatia,rt @antoesp: gr8! look fw reading it rt @gconole irrodl is a good journal @gsiemens &amp; i have a special issue of it on connectivism coming out soon!
2/4/2011,antoesp,gr8! look fw reading it rt @gconole irrodl is a good journal @gsiemens &amp; i have a special issue of it on connectivism coming out soon!
2/4/2011,gconole,@antoesp irrodl is a good journal @gsiemens and i have a special issue of it on connectivism coming out soon!
2/4/2011,linngustavsson,@hsitlia nice! :) see you there #co11 #cck11
2/4/2011,profesortbaker,via @kristibroom excellent cck11 week 3 notes: http://t.co/mncm964
2/4/2011,jsteeveslepage,rt @hamtra: survey reveals educators'must-have technologies - http://bit.ly/gpie8g #cck11 #lrnchat
2/4/2011,darcusmesveaux,"check out my ""connectivism"" entry #edt400 at http://desveaux.wordpress.com, say what you think."
2/4/2011,jonbecker,"love that @justv1c (one of the students in #adms707) calls me ""sherpa"" http://is.gd/yptchc #connectivism"
2/4/2011,myared,rt @hamtra: survey reveals educators'must-have technologies - http://bit.ly/gpie8g #cck11 #lrnchat
2/4/2011,terrencewing,tx rt @hamtra: amazing - using twitter favorites tab to create a course - see example by @terrencewing @isd20  #lrnchat @#cck11 #tk11
2/4/2011,kelly_smith01,rt @hamtra: survey reveals educators'must-have technologies - http://bit.ly/gpie8g #cck11 #lrnchat
2/4/2011,rovybranon,rt @hamtra: survey reveals educators'must-have technologies - http://bit.ly/gpie8g #cck11 #lrnchat
2/4/2011,hamtra,amazing - using twitter favorites tab to create a course - see example http://bit.ly/fgmlse by @terrencewing @isd20 #lrnchat @#cck11
2/4/2011,hamtra,app fusion: twaining in twitter by terrence wing : learning solutions magazine http://t.co/n0bxcjf via @guildmeister  #cck11 #lrnchat
2/4/2011,hamtra,survey reveals educators'must-have technologies - http://bit.ly/gpie8g #cck11 #lrnchat
2/4/2011,debralcamp,rt @shellterrell: via @profesortbaker unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl ... http://bit.ly/ibes7p #edchat
2/4/2011,imagineacircle,nice comparison fb and li #zaidlearn: use linkedin to collaborate with the corporate world? http://bit.ly/gqktis #cck11 thanks!
2/4/2011,cck11feeds,rt @shellterrell: via @profesortbaker unity is strength: a collaborative writing lesson plan #cck11 #eltchat #ed... http://bit.ly/f2rf6a
2/4/2011,cck11feeds,rt @profesortbaker: unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #el... http://bit.ly/gfwxmi
2/4/2011,cck11feeds,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://nblo.gs/dqi... http://bit.ly/faqvjo
2/4/2011,cck11feeds,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://nblo.gs/dqi... http://bit.ly/dfptzr
2/4/2011,cck11feeds,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://wp.me/pdhw0... http://bit.ly/etc0dj
2/3/2011,ddmiddens,rt @shellterrell: via @profesortbaker unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl ... http://bit.ly/ibes7p #edchat
2/3/2011,rliberni,rt @profesortbaker: unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://nblo.gs/dqio5
2/3/2011,profesortbaker,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://nblo.gs/dqio5
2/3/2011,profesorbaker,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://nblo.gs/dqio5
2/3/2011,profesortbaker,unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl #efl #elt http://wp.me/pdhw0-ih
