Position,Parties,Buts,Aides,Points,+/-,Minutes de punition,Tirs au but,Buts vainqueurs,Buts AN,Aides AN,Mises en échec,Tirs blockés
C,73,20,13,33,22,36,111,3,0,0,129,68
D,82,20,52,72,24,14,223,5,3,18,61,114
AG,73,20,23,43,14,32,130,3,3,3,60,36
AD,78,20,24,44,12,27,174,3,1,2,92,19
AD,74,20,32,52,13,8,180,6,3,3,92,40
C,78,20,37,57,-8,20,145,3,6,10,13,46
AD,82,20,17,37,0,62,189,3,0,5,123,26
C,78,19,16,35,-1,31,150,2,1,2,77,51
C,82,19,20,39,25,34,123,5,0,1,94,49
AD,72,19,22,41,-19,34,159,4,9,12,62,34
AD,74,19,34,53,13,14,178,1,4,10,39,33
C,63,19,28,47,17,71,135,3,3,3,128,36
C,81,19,16,35,-3,64,110,2,4,3,76,36
AG,74,19,14,33,-2,14,132,3,7,1,32,33
AD,78,19,18,37,-6,17,160,5,7,5,36,35
C,71,19,36,55,-2,12,156,2,3,8,58,15
C,66,19,8,27,6,22,128,3,0,0,63,55
C,80,19,27,46,-25,20,120,3,5,7,66,38
C,73,18,6,24,-14,38,123,4,7,2,145,50
AD,69,18,19,37,-3,26,197,2,6,6,150,34
AD,72,18,17,35,10,24,141,4,0,0,119,59
C,81,18,35,53,-8,26,190,3,3,13,55,23
AG,80,18,9,27,-15,25,147,1,3,2,128,41
C,69,18,25,43,-13,27,194,2,6,7,82,38
D,82,18,21,39,0,54,259,2,2,5,160,91
C,82,18,24,42,-5,24,122,3,8,5,78,71
C,82,18,22,40,22,45,153,2,2,3,88,23
C,82,18,44,62,-5,46,179,3,3,15,25,56
AG,81,18,10,28,1,8,156,4,1,1,87,35
AD,82,17,39,56,-1,36,130,4,2,18,66,16
AG,81,17,16,33,-9,20,162,2,2,1,68,52
C,69,17,30,47,0,24,160,3,3,8,53,44
AG,71,17,23,40,13,58,156,3,6,7,182,19
AD,80,17,13,30,10,23,100,1,0,0,88,29
AG,81,17,18,35,-6,21,154,4,1,3,79,34
D,79,17,43,60,-6,34,160,3,4,14,100,115
C,81,17,18,35,27,18,118,1,3,0,24,70
AD,79,17,13,30,-16,99,157,2,5,3,137,28
C,72,17,37,54,3,40,159,5,4,8,111,31
AG,73,17,18,35,12,44,141,2,2,2,175,51
D,78,17,57,74,39,69,221,2,3,18,58,144
C,72,17,14,31,19,16,78,4,0,0,12,34
D,82,16,67,83,13,34,300,6,7,21,90,105
AG,64,16,20,36,-12,26,108,1,4,7,38,13
AD,64,16,18,34,-26,10,141,1,4,5,28,19
C,73,16,35,51,8,20,90,4,3,12,17,14
AG,82,16,21,37,-6,28,161,3,4,6,74,41
AD,73,16,15,31,-4,4,134,3,1,1,18,20
AG,65,16,18,34,24,26,132,4,0,0,57,22
D,65,16,40,56,13,48,206,3,2,17,116,111
C,73,16,28,44,-2,43,184,5,4,9,85,13
AG,82,16,40,56,8,21,126,4,2,12,19,32
C,79,16,38,54,-8,24,189,5,2,18,46,40
C,72,16,23,39,-4,14,152,3,3,2,69,41
C,66,16,16,32,-8,31,118,3,4,5,33,59
AG,77,16,22,38,6,42,170,3,1,2,158,70
C,78,15,27,42,-9,38,116,1,4,12,22,29
AG,82,15,10,25,1,38,146,5,0,0,199,46
AD,75,15,15,30,20,23,111,3,1,1,109,52
C,81,15,15,30,-3,54,114,1,1,2,103,65
C,72,15,20,35,-2,14,195,3,1,2,50,51
D,82,15,41,56,9,42,274,4,2,10,53,144
C,56,15,16,31,16,17,94,3,0,1,114,36
AD,79,15,11,26,-6,102,111,3,0,0,191,15
C,82,15,26,41,-12,26,126,5,4,3,62,29
C,78,15,22,37,-2,14,142,1,1,3,25,33
C,82,15,15,30,-1,44,95,3,4,3,127,25
AD,78,15,27,42,-29,35,160,1,7,9,77,49
C,82,15,18,33,-17,22,148,2,2,4,87,54
AG,70,15,10,25,-4,44,154,1,2,0,154,37
AG,78,14,20,34,-18,12,147,3,4,2,29,29
AG,68,14,7,21,-17,28,117,0,2,2,51,22
AG,80,14,12,26,-4,17,60,1,0,0,86,31
D,70,14,41,55,-12,32,185,2,1,15,71,112
C,82,14,33,47,-21,24,200,5,1,18,16,21
AD,63,14,9,23,-16,10,125,3,2,3,35,14
C,71,14,27,41,-24,24,123,2,5,3,23,35
AG,80,14,15,29,9,41,127,0,0,0,278,81
D,58,14,19,33,15,28,166,3,5,1,129,110
C,67,14,34,48,-19,58,133,2,1,10,150,74
C,70,14,9,23,-19,39,110,0,2,3,102,15
AD,78,14,15,29,-9,41,147,2,7,4,87,27
AD,75,14,19,33,-3,44,140,2,0,2,137,52
D,81,14,30,44,-16,52,176,2,5,14,162,52
C,80,14,50,64,7,42,136,6,0,16,95,23
C,64,14,12,26,6,30,154,2,2,4,126,27
C,79,14,18,32,6,12,99,1,0,0,30,56
C,74,14,17,31,-1,22,113,2,0,1,101,31
AG,76,14,10,24,5,32,151,2,3,4,44,23
AD,80,14,23,37,10,10,115,4,1,2,36,36
D,78,14,45,59,-3,36,218,2,2,23,48,93
D,82,14,29,43,-1,20,152,0,4,7,91,145
C,75,13,34,47,8,30,108,4,4,16,115,23
AD,57,13,10,23,0,14,134,2,2,4,113,21
C,80,13,4,17,7,80,87,1,0,0,269,61
AD,82,13,21,34,-16,23,226,3,3,2,39,23
D,82,13,33,46,-5,28,172,4,3,8,190,123
AG,58,13,17,30,-16,8,115,1,2,7,28,24
D,71,13,28,41,2,22,168,2,3,12,62,139
D,80,13,57,70,21,34,185,1,3,30,54,164
C,72,13,25,38,-3,20,141,3,2,6,52,33
C,50,13,29,42,14,30,103,2,1,3,35,15
C,81,13,23,36,-1,37,163,1,0,3,69,47
C,76,13,20,33,-20,42,174,1,5,8,80,30
AD,70,13,13,26,5,26,95,1,0,0,129,14
AD,47,13,5,18,1,12,118,2,4,2,33,17
C,72,13,18,31,-8,27,115,3,1,1,72,26
C,61,13,12,25,-6,15,99,2,4,2,68,24
C,81,13,25,38,21,24,103,1,2,5,19,19
AG,83,13,26,39,-23,36,174,2,2,9,42,20
D,82,13,24,37,1,47,180,1,5,5,114,88
AG,71,13,14,27,-6,93,115,2,4,2,121,27
C,82,13,24,37,10,6,137,2,1,1,13,27
C,79,12,4,16,-1,26,79,2,0,0,67,39
C,81,12,16,28,-10,50,118,2,0,4,86,21
AG,63,12,5,17,6,108,67,1,0,0,129,31
D,82,12,21,33,-14,16,182,4,2,6,34,71
C,77,12,13,25,-19,10,118,1,3,7,30,16
AG,62,12,9,21,2,16,67,0,0,0,142,9
AG,81,12,12,24,-12,29,109,0,0,0,57,40
D,78,12,23,35,14,45,150,4,3,5,48,68
AG,55,12,11,23,-5,28,96,2,0,0,135,26
AD,75,12,9,21,-6,47,86,1,0,0,177,38
AG,51,12,6,18,-6,2,81,1,2,3,49,14
AG,65,12,15,27,-6,8,104,2,5,2,55,31
D,70,12,42,54,24,44,182,4,2,23,59,97
AD,48,12,28,40,-8,24,104,1,3,12,57,43
C,81,12,22,34,-1,20,155,2,1,3,77,56
C,82,12,20,32,-11,53,130,1,0,0,146,46
AG,59,12,13,25,-14,20,101,1,3,4,45,11
AG,76,12,13,25,2,14,100,4,1,0,35,29
D,79,12,25,37,-4,20,202,1,4,5,27,91
AD,83,12,14,26,1,74,145,2,0,0,107,39
C,81,12,41,53,17,39,132,1,0,4,95,60
AD,76,12,7,19,3,51,135,1,0,0,247,38
C,31,12,6,18,7,6,82,3,3,1,29,13
AG,78,12,11,23,6,33,105,3,0,0,223,49
C,77,12,10,22,-4,20,123,1,2,1,46,24
AD,68,12,10,22,1,15,92,1,0,0,161,39
D,32,12,10,22,-5,21,93,1,6,6,60,43
C,78,11,20,31,-7,44,119,3,1,2,140,62
AG,82,11,20,31,10,32,176,4,0,0,120,39
C,69,11,14,25,20,6,82,2,0,0,71,34
D,82,11,28,39,-27,58,146,0,3,9,83,87
D,82,11,21,32,14,33,132,1,4,3,143,161
AG,69,11,25,36,-6,16,183,1,2,3,61,27
D,82,11,24,35,9,47,217,3,6,4,156,121
AG,33,11,26,37,-6,16,113,3,1,11,22,29
AG,82,11,15,26,-10,58,141,0,1,1,115,51
AG,72,11,10,21,4,96,115,2,1,0,115,24
AG,80,11,8,19,-14,6,119,1,0,0,65,67
C,50,11,17,28,6,26,121,1,0,2,122,18
AD,81,11,18,29,-11,22,107,2,1,2,3,28
C,70,11,15,26,-2,14,114,3,4,1,48,35
C,75,11,12,23,-22,8,133,2,3,4,29,21
AD,76,11,8,19,14,56,77,5,0,0,200,36
D,82,11,33,44,-12,18,168,1,2,13,67,89
AG,81,11,14,25,5,67,131,1,0,0,288,44
AD,71,11,7,18,-13,27,116,0,0,0,124,19
C,77,11,23,34,13,16,114,2,1,6,54,36
AD,30,11,9,20,0,2,94,2,1,3,17,11
C,79,11,23,34,1,26,134,2,1,4,66,41
AG,77,10,5,15,-17,20,106,3,0,0,126,19
C,81,10,18,28,-8,36,131,4,2,5,82,39
C,56,10,15,25,-15,6,139,1,3,5,24,21
AG,65,10,17,27,2,14,114,0,2,3,55,50
C,72,10,25,35,-7,14,120,4,0,8,79,44
D,56,10,24,34,3,54,128,2,4,13,127,166
AG,74,10,18,28,-3,64,118,3,2,9,135,7
C,79,10,16,26,13,12,106,1,1,1,56,22
C,76,10,19,29,-12,13,82,4,2,3,94,64
AG,82,10,16,26,10,20,123,0,0,0,137,38
D,80,10,18,28,20,15,176,3,4,4,127,157
AG,63,10,14,24,-10,91,159,1,1,2,97,27
D,82,10,31,41,-5,87,196,1,1,8,162,146
D,64,10,35,45,6,12,153,5,5,15,42,77
AD,78,10,13,23,2,15,102,1,0,0,198,102
C,55,10,24,34,-9,54,158,1,3,10,112,42
AG,26,9,5,14,-9,6,43,0,3,4,18,13
AG,65,9,22,31,5,118,84,1,0,0,87,50
D,75,9,37,46,1,28,184,4,0,10,106,133
D,61,9,21,30,22,8,112,1,1,7,37,100
D,82,9,28,37,21,22,180,3,3,6,143,148
C,74,9,7,16,-12,10,114,1,0,0,200,52
D,78,9,28,37,-20,22,180,2,4,10,46,102
C,81,9,39,48,-22,26,116,1,0,10,30,54
C,55,9,11,20,4,28,91,0,0,1,104,27
C,82,9,10,19,-9,17,110,2,0,0,72,44
D,80,9,28,37,21,47,141,1,1,4,172,134
D,79,9,25,34,29,24,102,1,1,3,21,86
D,80,9,22,31,11,63,156,3,0,7,97,99
C,70,9,19,28,-6,81,101,1,0,0,136,27
D,63,9,22,31,5,60,168,1,2,8,56,75
D,82,9,37,46,38,34,128,1,0,3,98,161
AD,41,9,7,16,-2,8,65,1,0,0,28,15
AD,80,9,11,20,1,74,95,2,3,0,305,24
D,82,9,53,62,-17,50,199,2,7,32,47,76
D,82,9,26,35,-4,22,121,2,2,3,45,133
AG,60,9,22,31,6,82,96,2,2,7,123,31
C,74,9,20,29,-7,25,168,1,2,2,33,33
AD,77,9,15,24,-2,4,74,0,5,2,32,21
C,70,9,24,33,-2,14,80,0,3,4,13,22
AG,58,9,13,22,-11,24,99,3,3,3,87,36
D,82,9,35,44,-13,34,177,4,5,15,97,66
C,71,8,20,28,8,18,121,0,1,2,89,19
AG,44,8,5,13,11,12,65,1,0,0,43,17
C,62,8,10,18,-8,29,74,0,4,0,84,28
AD,33,8,3,11,-2,9,45,2,1,0,17,19
C,43,8,9,17,12,26,76,1,0,0,138,37
C,50,8,10,18,-14,4,54,0,3,4,11,12
AG,51,8,25,33,-8,6,91,1,1,7,36,22
D,82,8,27,35,-20,56,181,2,1,5,99,121
AG,68,8,9,17,-10,18,116,1,0,0,75,23
C,64,8,14,22,10,20,47,3,0,0,97,37
D,80,8,17,25,-3,41,143,1,1,1,167,137
C,48,8,21,29,-2,22,89,0,2,10,13,32
C,76,8,19,27,-13,29,121,1,2,10,16,30
AD,73,8,15,23,6,44,95,2,3,0,209,40
D,82,8,37,45,-34,44,154,1,7,17,168,120
D,82,8,16,24,19,36,124,1,0,0,122,123
C,47,8,4,12,-2,6,75,1,1,0,93,27
C,63,8,13,21,-8,18,75,1,2,4,28,26
D,82,8,42,50,8,58,162,1,3,15,112,171
D,75,8,19,27,-24,44,129,2,0,6,63,132
D,78,8,17,25,-4,44,126,1,0,0,178,119
D,82,8,23,31,0,18,146,1,5,2,70,133
AD,82,8,21,29,11,16,85,0,0,1,35,37
AG,54,8,1,9,-4,29,85,1,0,0,277,13
AG,60,8,12,20,8,21,77,2,0,1,48,37
D,80,8,36,44,27,47,146,3,2,5,68,107
AD,66,8,12,20,-3,26,80,1,0,0,120,47
C,64,8,11,19,-5,20,50,0,0,0,40,29
C,71,8,13,21,6,38,134,3,0,0,129,35
AG,64,8,26,34,4,20,100,1,2,6,104,34
C,81,7,20,27,-8,35,144,2,1,2,115,51
D,73,7,22,29,35,24,98,2,0,0,53,131
D,70,7,7,14,19,75,100,0,0,0,228,67
AD,64,7,10,17,10,14,95,1,0,0,29,32
AG,65,7,13,20,10,40,70,3,2,0,159,26
C,62,7,13,20,0,12,53,0,0,0,178,35
AG,62,7,16,23,-14,24,92,1,1,3,56,28
D,74,7,19,26,-22,18,132,2,0,1,120,142
C,70,7,5,12,0,13,103,3,0,0,86,52
AG,37,7,9,16,11,39,64,1,1,0,109,28
AG,71,7,28,35,-23,6,88,1,2,5,54,28
